,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Latitude,Longitude
4901,732600,1000.0,74,1,2,1,2,1,0,1,0,Vila Madalena/São Paulo,-23.552129,-46.692244
4902,1990000,2400.0,164,4,5,2,3,1,1,1,0,Vila Madalena/São Paulo,-23.551613,-46.699106
4903,720000,700.0,70,2,2,1,1,1,0,1,1,Vila Madalena/São Paulo,-23.547687,-46.692594
4904,1680000,1580.0,155,3,5,3,2,1,0,1,0,Vila Madalena/São Paulo,-23.55259,-46.691104
4905,1200000,900.0,56,2,2,1,2,0,1,1,0,Vila Madalena/São Paulo,-23.553087,-46.69789
4906,1950000,2207.0,122,3,2,1,2,1,0,1,0,Vila Madalena/São Paulo,-23.558541,-46.69232
4907,2105860,1849.6675264761961,149,4,1,3,2,1,0,1,0,Vila Madalena/São Paulo,-23.548473,-46.693005
4908,1475610,1000.0,118,3,3,1,2,1,0,1,0,Vila Madalena/São Paulo,-23.549317,-46.692097
4909,1350000,1350.0,112,3,3,1,2,0,1,1,0,Vila Madalena/São Paulo,-23.554729,-46.689597
4910,1880000,1050.0,149,4,5,2,2,1,0,1,0,Vila Madalena/São Paulo,-23.548235,-46.692536
4911,720000,900.0,73,2,2,1,1,1,0,0,0,Vila Madalena/São Paulo,-23.544957,-46.693206
4912,1100000,1000.0,94,3,3,1,1,1,0,0,0,Vila Madalena/São Paulo,-23.543664,-46.704285
4913,650000,654.8446643612931,67,2,2,1,1,1,0,0,1,Vila Madalena/São Paulo,-23.56215,-46.692518
4914,1500000,1650.0,156,4,5,3,3,0,0,0,0,Vila Madalena/São Paulo,-23.552596,-46.691106
4915,928000,1100.0,97,3,2,1,1,1,0,0,0,Vila Madalena/São Paulo,-23.545566,-46.693608
4916,697400,500.0,67,3,2,1,1,1,0,1,0,Vila Madalena/São Paulo,-23.544082,-46.690373
4917,750000,835.0,75,2,2,1,1,0,0,0,0,Vila Madalena/São Paulo,-23.552039,-46.698436
4918,2680001,2263.2152151573005,168,2,3,2,3,1,0,1,0,Vila Madalena/São Paulo,-23.554117,-46.686749
4919,820000,1500.0,93,2,2,1,1,1,0,0,0,Vila Madalena/São Paulo,-23.54652,-46.694236
4920,820000,1500.0,90,2,2,1,1,0,1,0,0,Vila Madalena/São Paulo,-23.546733,-46.694201
4921,1100000,1026.9866074774327,93,2,1,2,1,1,0,1,0,Vila Madalena/São Paulo,-23.546658,-46.692002
4922,980000,570.0,67,2,2,1,1,1,0,1,0,Vila Madalena/São Paulo,-23.544408,-46.691265
4923,4125000,3559.823267658038,275,4,5,4,4,1,0,1,0,Vila Madalena/São Paulo,-23.549316,-46.692097
4924,1150000,1107.7156702409675,105,2,3,2,2,0,0,0,0,Vila Madalena/São Paulo,-23.557858,-46.687365
4925,836893,767.0518732104985,68,2,2,1,1,1,0,1,0,Vila Madalena/São Paulo,-23.549871,-46.693105
4926,1500000,1750.0,126,3,3,1,2,0,0,0,0,Vila Madalena/São Paulo,-23.551684,-46.687401
4927,1250700,1800.0,128,3,4,1,2,1,0,1,0,Vila Madalena/São Paulo,-23.545901,-46.707682
4928,530000,335.0,70,2,2,1,1,0,0,0,0,Vila Madalena/São Paulo,-23.544128,-46.694184
4929,1400000,650.0,95,3,3,1,2,1,0,1,0,Vila Madalena/São Paulo,-23.555403,-46.681228
4930,522900,700.0,83,3,2,1,2,1,0,1,0,Mooca/São Paulo,-23.560846,-46.604266
4931,420000,539.3646537945926,71,3,2,1,2,1,0,1,0,Mooca/São Paulo,-23.563045,-46.594365
4932,369000,295.0,63,2,2,1,1,1,0,1,0,Mooca/São Paulo,-23.552691,-46.623627
4933,686700,800.0,109,4,4,3,2,1,0,1,0,Mooca/São Paulo,-23.560846,-46.604266
4934,360000,543.0,50,2,2,1,1,0,0,1,0,Mooca/São Paulo,-23.5481,-46.609283
4935,1195614,1155.6575566719969,110,3,2,1,2,0,0,1,0,Mooca/São Paulo,-23.556404,-46.606369
4936,2450000,1452.0,221,3,4,3,4,1,1,1,0,Mooca/São Paulo,-23.550987,-46.590908
4937,919990,701.0,126,3,4,3,2,1,1,1,0,Mooca/São Paulo,-23.549196,-46.595386
4938,1550000,1600.0,172,3,5,3,3,0,0,1,0,Mooca/São Paulo,-23.556104,-46.607512
4939,580000,750.0,87,3,3,1,2,1,0,1,0,Mooca/São Paulo,-23.55654,-46.604418
4940,1650000,1100.0,185,4,4,1,2,0,0,1,0,Mooca/São Paulo,-23.55675,-46.598875
4941,629950,712.4257390709093,83,3,3,1,2,1,0,1,0,Mooca/São Paulo,-23.560043,-46.604831
4942,441000,550.0,69,2,2,1,2,1,0,1,1,Mooca/São Paulo,-23.559428,-46.60377
4943,550000,640.3410161475517,77,3,2,1,2,0,0,0,0,Mooca/São Paulo,-23.557436,-46.595304
4944,203000,190.0,34,2,2,1,1,1,0,1,0,Mooca/São Paulo,-23.55989,-46.594119
4945,680000,700.0,85,3,2,1,2,1,0,1,0,Mooca/São Paulo,-23.563142,-46.584295
4946,345300,440.0551888552858,58,3,2,0,1,1,0,0,1,Mooca/São Paulo,-23.549321,-46.583944
4947,995000,1083.0739202550603,120,3,3,1,2,1,0,1,0,Mooca/São Paulo,-23.565535,-46.601888
4948,369000,462.3805260072144,60,3,2,1,1,1,0,1,0,Mooca/São Paulo,-23.556681,-46.591792
4949,927000,820.0,140,3,2,1,3,1,0,1,0,Mooca/São Paulo,-23.556407,-46.606371
4950,880000,1008.0451529348479,118,3,4,3,2,1,0,1,1,Mooca/São Paulo,-23.558443,-46.593451
4951,526000,596.2315497896277,70,2,2,1,1,1,0,1,0,Mooca/São Paulo,-23.580576,-46.586502
4952,660000,720.0,85,3,2,1,2,1,0,1,0,Mooca/São Paulo,-23.563142,-46.584295
4953,385000,530.0,64,2,2,1,1,1,1,1,0,Mooca/São Paulo,-23.557841,-46.591533
4954,522900,650.0,83,3,2,1,2,1,0,1,1,Mooca/São Paulo,-23.559428,-46.60377
4955,340000,452.0,65,3,2,1,1,1,1,1,0,Mooca/São Paulo,-23.550464,-46.604648
4956,600000,882.0,82,2,2,1,1,0,1,1,0,Mooca/São Paulo,-23.557555,-46.606281
4957,441000,547.1648294796155,70,2,2,1,2,1,0,1,0,Mooca/São Paulo,-23.559841,-46.604037
4958,390000,553.0,31,1,2,1,1,1,0,1,0,Brooklin/São Paulo,-23.618622,-46.685512
4959,830000,821.0,82,3,3,1,1,0,1,0,0,Brooklin/São Paulo,-23.616463,-46.680541
4960,420000,1200.0,54,2,2,1,1,1,1,1,0,Brooklin/São Paulo,-23.603693,-46.694742
4961,1737000,600.0,158,4,6,4,4,0,0,1,0,Brooklin/São Paulo,-23.615268,-46.685278
4962,780000,1300.0,110,3,2,1,1,1,0,1,0,Brooklin/São Paulo,-23.61321,-46.681417
4963,790000,750.0,105,2,2,1,1,1,0,1,0,Brooklin/São Paulo,-23.616043,-46.68276
4964,550000,739.7513978595089,100,1,2,1,1,1,0,0,0,Brooklin/São Paulo,-23.610462,-46.684729
4965,950000,1026.842087702898,113,3,2,1,1,0,0,0,0,Brooklin/São Paulo,-23.612659,-46.678737
4966,785000,550.0,67,2,2,1,1,0,0,1,0,Brooklin/São Paulo,-23.618385,-46.684776
4967,570140,552.5565608714021,54,2,2,1,1,0,0,1,0,Brooklin/São Paulo,-23.623669,-46.688265
4968,1470000,900.0,130,3,5,3,2,1,0,1,0,Brooklin/São Paulo,-23.619816,-46.695689
4969,2050000,1903.865842583833,169,3,4,2,2,0,0,1,0,Brooklin/São Paulo,-23.626047,-46.685233
4970,1690000,1365.0,167,3,5,3,3,1,0,1,0,Brooklin/São Paulo,-23.624065,-46.685122
