,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,mean_price/m,std_price/m,district_class
0,930,220.0,47,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
1,1000,148.0,45,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
2,1000,100.0,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
3,1000,200.0,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
4,1300,410.0,55,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
5,1170,429.09166558402586,50,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
6,1000,180.0,52,1,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
7,900,150.0,40,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
8,1000,550.6925310902474,65,2,2,1,1,0,0,0,30.058304914488353,15.139146507512537,D
9,1000,858.4219205885472,100,2,2,1,1,0,0,0,35.70183671780869,21.894769921815232,D
10,760,160.0,38,2,2,1,1,0,0,0,57.232647234429116,30.03211462514222,D
11,800,150.0,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
12,900,130.0,56,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
13,1000,200.0,56,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
14,1800,418.0,54,2,2,1,1,1,0,1,29.32834936571854,14.841037015136015,C
15,1600,416.0,45,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,C
16,1500,337.0,55,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,C
17,1600,306.0,43,2,2,1,1,1,0,0,36.99486182214457,21.366743561269978,C
18,1600,150.0,80,2,2,1,1,1,0,0,29.96586380462771,14.511229657479197,C
19,1600,420.0,46,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,C
20,1900,800.0,67,3,2,1,1,1,1,0,30.058304914488353,15.139146507512537,C
21,2500,720.0,68,3,2,1,1,0,0,1,30.058304914488353,15.139146507512537,C
22,1400,743.0,63,2,2,1,1,0,0,1,30.058304914488353,15.139146507512537,C
23,1800,530.0,59,3,2,1,1,0,0,0,29.32834936571854,14.841037015136015,C
24,1500,2893.0,230,3,2,1,2,0,0,0,37.378971594296566,22.385512356878106,D
25,2300,857.0,113,3,2,1,2,1,0,0,31.98361367873975,16.256562568320263,C
26,2250,530.0,68,2,2,1,1,0,0,1,30.058304914488353,15.139146507512537,C
27,1700,445.0,65,2,2,1,1,0,0,1,30.058304914488353,15.139146507512537,C
28,1726,290.0,55,2,2,1,1,1,0,1,29.32834936571854,14.841037015136015,C
29,1700,450.0,50,1,2,1,1,1,0,1,29.32834936571854,14.841037015136015,C
30,1600,300.0,48,2,2,1,1,1,0,0,36.99486182214457,21.366743561269978,C
31,810,140.0,36,1,2,1,1,0,0,0,57.232647234429116,30.03211462514222,C
32,3000,811.0,107,3,3,1,2,1,0,1,35.70183671780869,21.894769921815232,C
