,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,district_class
0,732600,1000.0,74,1,2,1,2,1,0,1,B
1,1990000,2400.0,164,4,5,2,3,1,1,1,B
2,720000,700.0,70,2,2,1,1,1,0,1,B
3,1680000,1580.0,155,3,5,3,2,1,0,1,B
4,1200000,900.0,56,2,2,1,2,0,1,1,B
5,1950000,2207.0,122,3,2,1,2,1,0,1,B
6,2105860,1849.667526476196,149,4,1,3,2,1,0,1,B
7,1475610,1000.0,118,3,3,1,2,1,0,1,B
8,1350000,1350.0,112,3,3,1,2,0,1,1,B
9,1880000,1050.0,149,4,5,2,2,1,0,1,B
10,720000,900.0,73,2,2,1,1,1,0,0,B
11,1100000,1000.0,94,3,3,1,1,1,0,0,B
12,650000,654.8446643612931,67,2,2,1,1,1,0,0,B
13,1500000,1650.0,156,4,5,3,3,0,0,0,B
14,928000,1100.0,97,3,2,1,1,1,0,0,B
15,697400,500.0,67,3,2,1,1,1,0,1,B
16,750000,835.0,75,2,2,1,1,0,0,0,B
17,2680001,2263.2152151573005,168,2,3,2,3,1,0,1,B
18,820000,1500.0,93,2,2,1,1,1,0,0,B
19,820000,1500.0,90,2,2,1,1,0,1,0,B
20,1100000,1026.9866074774327,93,2,1,2,1,1,0,1,B
21,980000,570.0,67,2,2,1,1,1,0,1,B
22,4125000,3559.823267658038,275,4,5,4,4,1,0,1,B
23,1150000,1107.7156702409677,105,2,3,2,2,0,0,0,B
24,836893,767.0518732104985,68,2,2,1,1,1,0,1,B
25,1500000,1750.0,126,3,3,1,2,0,0,0,B
26,1250700,1800.0,128,3,4,1,2,1,0,1,B
27,530000,335.0,70,2,2,1,1,0,0,0,B
28,1400000,650.0,95,3,3,1,2,1,0,1,B
29,522900,700.0,83,3,2,1,2,1,0,1,C
30,420000,539.3646537945926,71,3,2,1,2,1,0,1,C
31,369000,295.0,63,2,2,1,1,1,0,1,B
32,686700,800.0,109,4,4,3,2,1,0,1,C
33,360000,543.0,50,2,2,1,1,0,0,1,C
34,1195614,1155.6575566719969,110,3,2,1,2,0,0,1,C
35,2450000,1452.0,221,3,4,3,4,1,1,1,C
36,919990,701.0,126,3,4,3,2,1,1,1,C
37,1550000,1600.0,172,3,5,3,3,0,0,1,C
38,580000,750.0,87,3,3,1,2,1,0,1,C
39,1650000,1100.0,185,4,4,1,2,0,0,1,C
40,629950,712.4257390709093,83,3,3,1,2,1,0,1,C
41,441000,550.0,69,2,2,1,2,1,0,1,C
42,550000,640.3410161475517,77,3,2,1,2,0,0,0,C
43,203000,190.0,34,2,2,1,1,1,0,1,C
44,680000,700.0,85,3,2,1,2,1,0,1,C
45,345300,440.0551888552858,58,3,2,0,1,1,0,0,C
46,995000,1083.0739202550603,120,3,3,1,2,1,0,1,C
47,369000,462.3805260072144,60,3,2,1,1,1,0,1,C
48,927000,820.0,140,3,2,1,3,1,0,1,C
49,880000,1008.045152934848,118,3,4,3,2,1,0,1,C
50,526000,596.2315497896277,70,2,2,1,1,1,0,1,C
51,660000,720.0,85,3,2,1,2,1,0,1,C
52,385000,530.0,64,2,2,1,1,1,1,1,C
53,522900,650.0,83,3,2,1,2,1,0,1,C
54,340000,452.0,65,3,2,1,1,1,1,1,C
55,600000,882.0,82,2,2,1,1,0,1,1,C
56,441000,547.1648294796155,70,2,2,1,2,1,0,1,C
57,390000,553.0,31,1,2,1,1,1,0,1,B
