,class
Alto de Pinheiros,B
Anhanguera,C
Aricanduva,D
Artur Alvim,D
Barra Funda,C
Bela Vista,B
Belém,C
Bom Retiro,C
Brasilândia,D
Brooklin,B
Brás,C
Butantã,B
Cachoeirinha,D
Cambuci,B
Campo Belo,B
Campo Grande,C
Campo Limpo,C
Cangaíba,D
Capão Redondo,D
Carrão,D
Casa Verde,C
Cidade Ademar,C
Cidade Dutra,D
Cidade Líder,D
Cidade Tiradentes,D
Consolação,B
Cursino,C
Ermelino Matarazzo,D
Freguesia do Ó,C
Grajaú,D
Guaianazes,D
Iguatemi,A
Ipiranga,C
Itaim Bibi,A
Itaim Paulista,D
Itaquera,D
Jabaquara,C
Jaguaré,B
Jaraguá,C
Jardim Helena,D
Jardim Paulista,B
Jardim São Luis,C
Jardim Ângela,D
Jaçanã,D
José Bonifácio,D
Lajeado,D
Lapa,C
Liberdade,B
Limão,C
Mandaqui,D
Medeiros,D
Moema,B
Mooca,C
Morumbi,C
Pari,C
Parque do Carmo,D
Pedreira,D
Penha,D
Perdizes,B
Perus,D
Pinheiros,B
Pirituba,C
Ponte Rasa,D
Raposo Tavares,C
República,B
Rio Pequeno,C
Sacomã,C
Santa Cecília,B
Santana,D
Santo Amaro,C
Sapopemba,D
Saúde,B
Socorro,D
São Domingos,C
São Lucas,D
São Mateus,D
São Miguel,D
São Rafael,D
Sé,B
Tatuapé,D
Tremembé,D
Tucuruvi,D
Vila Andrade,C
Vila Curuçá,D
Vila Formosa,D
Vila Guilherme,D
Vila Jacuí,D
Vila Leopoldina,C
Vila Madalena,B
Vila Maria,D
Vila Mariana,B
Vila Matilde,D
Vila Olimpia,A
Vila Prudente,C
Vila Sônia,B
Água Rasa,D
