,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.5021796703338623,0.018430425801640216,0.03272037506103516,0.0009437415154431318,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-3281022.1837228704,-5363238.966671139,-3508451.7865304537,-3788697.8804457444,-4082715.196906121,-4004825.2028552657,730526.2765060124,61
1,2.94565749168396,0.009857364728334225,0.06145806312561035,0.0008631701232871615,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-3114133.7265431266,-5350537.865309138,-3440279.4620100344,-3715917.185068657,-3976935.689904249,-3919560.785767041,770828.2990312871,15
2,4.414723205566406,0.029667248816508347,0.09118065834045411,0.002409064572927754,,1,2,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-3152034.309929463,-5286204.052821563,-3466944.649628259,-3691392.03254328,-3940851.3611826594,-3907485.2812210447,736675.9473050985,7
3,1.2285213470458984,0.013350988204143426,0.026946067810058594,0.0008135241742387517,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-3279292.857044247,-5223391.319904711,-3496224.883943843,-3775496.502092945,-4081918.45005318,-3971264.802607785,681597.8829586841,42
4,2.4561370849609374,0.015176108563906304,0.04980926513671875,0.00017473888780035623,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-3161831.2157682613,-5223623.564577284,-3436586.67236953,-3734239.543558801,-3950233.3257120657,-3901302.864397188,712967.8584056208,5
5,3.6827979564666746,0.01906159008279792,0.07364387512207031,0.001601159432326375,,1,5,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-3176672.8479548167,-5152504.200178985,-3476106.021812252,-3732250.1835185243,-3926701.115200688,-3892846.8737330534,678270.1761836804,2
6,1.0524724960327148,0.0092490956618483,0.022645282745361327,0.00048204546842849994,,1,10,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-3423195.958839627,-5276369.217878279,-3510514.3953636526,-3839199.4863388864,-4100477.5338883423,-4029951.318461758,668264.1052778955,68
7,2.1040409564971925,0.01469964658881346,0.04277815818786621,0.0011955708561235063,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-3321461.5862104963,-5327125.969400795,-3459715.2625054047,-3806864.558715421,-4014979.8179040486,-3986029.438947233,714161.7640226284,56
8,3.186134767532349,0.033120030516972765,0.06396751403808594,0.0002393409719962956,,1,10,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-3334860.3947520233,-5245102.99853118,-3503484.101900959,-3810728.0494425837,-3996599.000355198,-3978154.9089963892,674191.309132279,48
9,1.1834715843200683,0.009851340159341642,0.026550674438476564,0.0005615681189597454,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-3294307.9922190835,-5163416.46070829,-3553054.937878789,-3765356.410359227,-4026137.02161413,-3960454.5645559044,647953.7807874028,35
